scheme_code,scheme_name,date,nav
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-01-2013,28.957
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-01-2013,29.227
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-01-2013,29.316
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-01-2013,29.383
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-01-2013,29.383
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-01-2013,29.383
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-01-2013,29.35
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-01-2013,29.282
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-01-2013,29.232
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-01-2013,29.185
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-01-2013,29.19
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-01-2013,29.19
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-01-2013,29.19
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-01-2013,29.571
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-01-2013,29.709
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-01-2013,29.308
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,17-01-2013,29.468
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,18-01-2013,29.636
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,19-01-2013,29.636
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,20-01-2013,29.636
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,21-01-2013,29.695
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,22-01-2013,29.411
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,23-01-2013,29.335
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,24-01-2013,28.858
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,25-01-2013,29.221
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,26-01-2013,29.221
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,27-01-2013,29.221
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,28-01-2013,29.188
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,29-01-2013,28.977
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,30-01-2013,28.939
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,31-01-2013,28.922
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-02-2013,28.685
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-02-2013,28.685
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-02-2013,28.685
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-02-2013,28.485
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-02-2013,28.225
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-02-2013,28.158
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-02-2013,27.992
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-02-2013,27.785
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-02-2013,27.785
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-02-2013,27.785
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-02-2013,27.76
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-02-2013,27.834
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-02-2013,27.79
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-02-2013,27.581
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-02-2013,27.569
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-02-2013,27.569
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,17-02-2013,27.569
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,18-02-2013,27.643
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,19-02-2013,27.805
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,20-02-2013,27.66
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,21-02-2013,27.2
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,22-02-2013,27.201
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,23-02-2013,27.201
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,24-02-2013,27.201
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,25-02-2013,27.087
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,26-02-2013,26.764
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,27-02-2013,26.997
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,28-02-2013,26.293
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-03-2013,26.445
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-03-2013,26.445
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-03-2013,26.445
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-03-2013,26.311
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-03-2013,26.71
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-03-2013,27.109
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-03-2013,27.367
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-03-2013,27.585
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-03-2013,27.585
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-03-2013,27.585
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-03-2013,27.575
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-03-2013,27.392
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-03-2013,26.97
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-03-2013,27.321
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-03-2013,27.066
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-03-2013,27.066
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,17-03-2013,27.066
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,18-03-2013,26.833
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,19-03-2013,26.334
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,20-03-2013,25.861
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,21-03-2013,25.664
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,22-03-2013,25.553
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,23-03-2013,25.553
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,24-03-2013,25.553
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,25-03-2013,25.499
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,26-03-2013,25.608
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,27-03-2013,25.608
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,28-03-2013,25.941
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,29-03-2013,25.941
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,30-03-2013,25.941
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,31-03-2013,25.941
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-04-2013,26.104
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-04-2013,26.457
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-04-2013,26.164
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-04-2013,25.756
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-04-2013,25.788
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-04-2013,25.788
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-04-2013,25.788
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-04-2013,25.696
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-04-2013,25.425
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-04-2013,25.571
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-04-2013,25.774
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-04-2013,25.37
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-04-2013,25.37
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-04-2013,25.37
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-04-2013,25.57
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-04-2013,25.868
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,17-04-2013,25.914
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,18-04-2013,26.282
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,19-04-2013,26.282
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,20-04-2013,26.282
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,21-04-2013,26.282
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,22-04-2013,26.529
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,23-04-2013,26.477
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,24-04-2013,26.477
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,25-04-2013,26.632
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,26-04-2013,26.389
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,27-04-2013,26.389
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,28-04-2013,26.389
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,29-04-2013,26.475
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,30-04-2013,26.582
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-05-2013,26.582
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-05-2013,26.77
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-05-2013,26.42
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-05-2013,26.42
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-05-2013,26.42
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-05-2013,26.534
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-05-2013,26.724
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-05-2013,26.603
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-05-2013,26.578
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-05-2013,26.721
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-05-2013,26.721
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-05-2013,26.721
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-05-2013,26.302
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-05-2013,26.378
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-05-2013,26.902
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-05-2013,27.028
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,17-05-2013,27.164
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,18-05-2013,27.164
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,19-05-2013,27.164
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,20-05-2013,27.053
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,21-05-2013,26.838
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,22-05-2013,26.65
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,23-05-2013,25.881
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,24-05-2013,25.956
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,25-05-2013,25.956
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,26-05-2013,25.956
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,27-05-2013,26.101
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,28-05-2013,26.24
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,29-05-2013,26.077
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,30-05-2013,26.113
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,31-05-2013,25.75
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-06-2013,25.75
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-06-2013,25.75
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-06-2013,25.744
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-06-2013,25.69
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-06-2013,25.587
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-06-2013,25.686
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-06-2013,25.586
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-06-2013,25.586
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-06-2013,25.586
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-06-2013,25.444
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-06-2013,24.995
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-06-2013,24.828
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,13-06-2013,24.511
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,14-06-2013,24.913
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,15-06-2013,24.913
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,16-06-2013,24.913
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,17-06-2013,24.959
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,18-06-2013,24.851
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,19-06-2013,24.855
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,20-06-2013,24.142
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,21-06-2013,24.001
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,22-06-2013,24.001
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,23-06-2013,24.001
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,24-06-2013,23.485
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,25-06-2013,23.4
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,26-06-2013,23.392
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,27-06-2013,23.673
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,28-06-2013,24.378
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,29-06-2013,24.378
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,30-06-2013,24.378
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,01-07-2013,24.724
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,02-07-2013,24.616
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,03-07-2013,23.969
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,04-07-2013,24.19
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,05-07-2013,24.212
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,06-07-2013,24.212
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,07-07-2013,24.212
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,08-07-2013,23.954
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,09-07-2013,24.192
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,10-07-2013,24.044
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,11-07-2013,24.4
119062,HDFC Hybrid Equity Fund - Growth Option - Direct Plan,12-07-2013,24.855
