scheme_code,date,nav
118632,19-06-2026,100.7824
118632,18-06-2026,100.9901
118632,17-06-2026,100.604
118632,16-06-2026,100.0048
118632,15-06-2026,99.3506
118632,12-06-2026,98.1776
118632,11-06-2026,96.1712
118632,10-06-2026,96.5862
118632,09-06-2026,96.6849
118632,08-06-2026,95.8952
118632,05-06-2026,97.2456
118632,04-06-2026,97.2621
118632,03-06-2026,97.2167
118632,02-06-2026,97.4783
118632,01-06-2026,97.1944
118632,29-05-2026,98.4656
118632,27-05-2026,99.8092
118632,26-05-2026,99.4356
118632,25-05-2026,99.8047
118632,22-05-2026,98.7497
118632,21-05-2026,98.3781
118632,20-05-2026,98.3933
118632,19-05-2026,98.1289
118632,18-05-2026,97.9372
118632,15-05-2026,98.0059
118632,14-05-2026,98.0606
118632,13-05-2026,97.169
118632,12-05-2026,97.1846
118632,11-05-2026,99.2007
118632,08-05-2026,100.4981
118632,07-05-2026,101.2917
118632,06-05-2026,101.1725
118632,05-05-2026,99.9072
118632,04-05-2026,100.0932
118632,30-04-2026,99.5502
118632,29-04-2026,100.3928
118632,28-04-2026,99.9782
118632,27-04-2026,100.6093
118632,24-04-2026,99.76
118632,23-04-2026,100.8016
118632,22-04-2026,101.5803
118632,21-04-2026,101.9645
118632,20-04-2026,100.9566
118632,17-04-2026,100.7903
118632,16-04-2026,99.9263
118632,15-04-2026,99.8843
118632,13-04-2026,98.1851
118632,10-04-2026,98.8886
118632,09-04-2026,97.4948
118632,08-04-2026,98.1861
118632,07-04-2026,94.7584
118632,06-04-2026,94.353
118632,02-04-2026,93.2361
118632,01-04-2026,92.9211
118632,31-03-2026,91.4539
118632,30-03-2026,91.455
118632,27-03-2026,93.579
118632,25-03-2026,95.6217
118632,24-03-2026,93.8354
118632,23-03-2026,92.1523
118632,20-03-2026,94.8276
118632,19-03-2026,94.5458
118632,18-03-2026,97.5488
118632,17-03-2026,96.6146
118632,16-03-2026,95.9441
118632,13-03-2026,95.1844
118632,12-03-2026,97.31
118632,11-03-2026,98.1139
118632,10-03-2026,99.4725
118632,09-03-2026,98.2895
118632,06-03-2026,100.0829
118632,05-03-2026,101.1422
118632,04-03-2026,99.951
118632,02-03-2026,101.8541
118632,27-02-2026,103.3052
118632,26-02-2026,104.5075
118632,25-02-2026,104.4641
118632,24-02-2026,103.9564
118632,23-02-2026,104.8203
118632,20-02-2026,104.2351
118632,19-02-2026,103.5918
118632,18-02-2026,105.2559
118632,17-02-2026,104.7084
