scheme_code,scheme_name,date,nav
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-06-2026,276.277
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-06-2026,277.607
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-06-2026,277.614
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-06-2026,276.4
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-06-2026,276.324
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-06-2026,272.539
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-06-2026,266.838
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-06-2026,268.242
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-06-2026,271.955
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-06-2026,268.644
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-06-2026,273.22
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-06-2026,273.675
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,03-06-2026,272.933
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-06-2026,273.522
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,01-06-2026,272.311
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,29-05-2026,274.31
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-05-2026,276.483
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,26-05-2026,275.996
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,25-05-2026,276.793
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-05-2026,273.595
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-05-2026,272.935
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-05-2026,272.59
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-05-2026,272.175
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-05-2026,271.461
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-05-2026,272.61
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,14-05-2026,276.298
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-05-2026,274.58
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-05-2026,270.688
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-05-2026,272.682
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-05-2026,275.941
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,07-05-2026,277.064
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-05-2026,275.592
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-05-2026,271.21
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-05-2026,272.005
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,30-04-2026,271.224
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,29-04-2026,272.364
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,28-04-2026,271.819
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-04-2026,274.355
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,24-04-2026,271.89
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-04-2026,274.36
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-04-2026,277.229
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-04-2026,278.059
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-04-2026,276.932
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-04-2026,276.803
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-04-2026,275.457
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-04-2026,274.566
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-04-2026,269.952
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-04-2026,271.942
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-04-2026,269.366
