transaction_id,investor_id,scheme_code,transaction_date,transaction_type,amount,units,kyc_status,state
TXN10000,INV5164,119551,21/02/22,Lumpsum,73778.89,1040.5616,N,Delhi
TXN10001,INV5152,119062,2022-03-07,Sip,50782.85,4099.2797,yes,Andhra Pradesh
TXN10002,INV5167,119062,03/28/2023,REDEMPTION,86995.38,1111.1562,VERIFIED,Andhra Pradesh
TXN10003,INV5109,120841,24-07-2023,Lumpsum,33991.16,1852.6695,verified,West Bengal
TXN10004,INV5089,119092,03/30/2022,redemption,92268.39,5398.3322,Y,Rajasthan
TXN10005,INV5159,120841,28-03-2025,REDEEM,,,pending,Tamil Nadu
TXN10006,INV5198,119092,13-06-2022,Sip,45614.33,536.198,VERIFIED,West Bengal
TXN10007,INV5091,118632,04/10/25,REDEEM,64979.52,1002.4333,VERIFIED,Kerala
TXN10008,INV5187,118632,12/01/2022,LUMP_SUM,92576.42,1286.953,yes,Rajasthan
TXN10009,INV5084,125497,2023-04-15,Redemp,27140.22,936.2423,Pending,Andhra Pradesh
TXN10010,INV5081,118632,09/04/2025,LUMP_SUM,64463.76,2820.1291,VERIFIED,Tamil Nadu
TXN10011,INV5191,119092,2026/03/10,LUMP_SUM,40240.35,1353.1231,VERIFIED,Kerala
TXN10012,INV5127,119551,2026-03-28,Sip,16418.21,230.4527,Pending,Delhi
TXN10013,INV5099,119062,05/05/2025,redemption,55545.98,585.812,pending,Andhra Pradesh
TXN10014,INV5030,119092,24/04/26,Sip,16236.7,1577.5919,PENDING,Andhra Pradesh
TXN10015,INV5068,120503,2024-11-05,redeem,64075.47,988.7073,VERIFIED,West Bengal
TXN10016,INV5196,120503,2025/01/09,SIP,49116.27,2447.4804,Failed,Uttar Pradesh
TXN10017,INV5062,125497,2023/05/09,Sip,48856.05,3010.393,InvalidStatus,Kerala
TXN10018,INV5197,120503,09/20/2022,redemption,53003.54,820.5714,yes,Kerala
TXN10019,INV5194,118632,31/12/25,LUMP_SUM,65162.87,1318.3123,N,Telangana
TXN10020,INV5031,118632,2023-04-06,Lumpsum ,0.0,,N,Tamil Nadu
TXN10021,INV5151,118632,2022-01-15,REDEEM,23279.71,254.457,Failed,Delhi
TXN10022,INV5132,118632,07/25/2023,Lumpsum,72473.58,810.5352,Pending,Telangana
TXN10023,INV5063,119777,13-04-2024,Sip,43389.59,901.6567,no,Andhra Pradesh
TXN10024,INV5014,119551,05/05/2022,REDEEM,86236.42,2663.3384,yes,Kerala
TXN10025,INV5115,120503,14-05-2024,lumpsum,87511.35,5213.7758,InvalidStatus,Kerala
TXN10026,INV5026,125497,2025/08/28,SIP,92673.51,1072.8259,VERIFIED,Gujarat
TXN10027,INV5125,119777,03/14/2023,SIP,714.46,15.8284,InvalidStatus,Telangana
