scheme_code,scheme_name,date,nav
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-06-2026,274.73500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-06-2026,277.84500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-06-2026,276.27700
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-06-2026,277.60700
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-06-2026,277.61400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-06-2026,276.40000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-06-2026,276.32400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-06-2026,272.53900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-06-2026,266.83800
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-06-2026,268.24200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-06-2026,271.95500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-06-2026,268.64400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-06-2026,273.22000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-06-2026,273.67500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,03-06-2026,272.93300
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-06-2026,273.52200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,01-06-2026,272.31100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,29-05-2026,274.31000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-05-2026,276.48300
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,26-05-2026,275.99600
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,25-05-2026,276.79300
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-05-2026,273.59500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-05-2026,272.93500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-05-2026,272.59000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-05-2026,272.17500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-05-2026,271.46100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-05-2026,272.61000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,14-05-2026,276.29800
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-05-2026,274.58000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-05-2026,270.68800
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-05-2026,272.68200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-05-2026,275.94100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,07-05-2026,277.06400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-05-2026,275.59200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-05-2026,271.21000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-05-2026,272.00500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,30-04-2026,271.22400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,29-04-2026,272.36400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,28-04-2026,271.81900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-04-2026,274.35500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,24-04-2026,271.89000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-04-2026,274.36000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,22-04-2026,277.22900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,21-04-2026,278.05900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-04-2026,276.93200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-04-2026,276.80300
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-04-2026,275.45700
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,15-04-2026,274.56600
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-04-2026,269.95200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-04-2026,271.94200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-04-2026,269.36600
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,08-04-2026,271.03600
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,07-04-2026,262.74700
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-04-2026,262.49200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-04-2026,259.24100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,01-04-2026,260.52100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,31-03-2026,255.68400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,30-03-2026,255.68100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-03-2026,258.60100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,25-03-2026,263.35800
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,24-03-2026,258.65700
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-03-2026,252.60100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-03-2026,262.89500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-03-2026,261.32100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-03-2026,269.99500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-03-2026,268.11600
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-03-2026,265.79400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-03-2026,267.46500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-03-2026,273.35500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-03-2026,274.59400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-03-2026,276.57400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-03-2026,273.52200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-03-2026,276.76300
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-03-2026,278.63800
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-03-2026,278.13600
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-03-2026,285.20400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,27-02-2026,283.40000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,26-02-2026,283.67100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,25-02-2026,284.25400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,24-02-2026,282.97100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,23-02-2026,284.44900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,20-02-2026,281.54500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,19-02-2026,280.90400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,18-02-2026,281.37900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,17-02-2026,280.15500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,16-02-2026,279.96700
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,13-02-2026,279.81700
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,12-02-2026,283.75100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,11-02-2026,285.60900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,10-02-2026,284.80100
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,09-02-2026,284.26000
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,06-02-2026,278.57400
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,05-02-2026,280.48500
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,04-02-2026,285.88900
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,03-02-2026,281.86200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,02-02-2026,272.49200
119777,Kotak Multi Asset Omni FOF - Direct Growth - Direct,30-01-2026,285.04500
